,Dataset,Inference Time (s),Acc,Precision,Recall,F-1,TN,FP,FN,TP,TNR,FNR,TPR,FPR,AUC Score
0,1,1.270118137685264e-06,0.7439024390243902,0.7985358041638069,0.7425915597694739,0.7309375,158.0,7.0,77.0,86.0,0.9575757575757575,0.4723926380368098,0.5276073619631901,0.04242424242424243,0.7425915597694739
1,2,1.2185130177474602e-07,0.8932926829268293,0.9029366895499618,0.8928239449711842,0.8925646904683917,160.0,5.0,30.0,133.0,0.9696969696969697,0.18404907975460122,0.8159509202453987,0.030303030303030304,0.8928239449711842
2,3,1.2663740937302754e-07,0.9176829268292683,0.9224371518892067,0.9173638222717977,0.9174057804762037,160.0,5.0,22.0,141.0,0.9696969696969697,0.13496932515337423,0.8650306748466258,0.030303030303030304,0.9173638222717977
3,4,1.6850414799480906e-07,0.9542682926829268,0.9564892344497608,0.954062093325897,0.9541963412931155,163.0,2.0,13.0,150.0,0.9878787878787879,0.07975460122699386,0.9202453987730062,0.012121212121212121,0.954062093325897
4,5,1.1549061391411758e-07,0.9664634146341463,0.9674269528920691,0.9663320319762038,0.9664381459122071,163.0,2.0,9.0,154.0,0.9878787878787879,0.05521472392638037,0.9447852760736196,0.012121212121212121,0.9663320319762038
5,6,1.5069137259227475e-07,0.9786585365853658,0.9786925479696564,0.9786391522587842,0.9786567511038811,162.0,3.0,4.0,159.0,0.9818181818181818,0.024539877300613498,0.9754601226993865,0.01818181818181818,0.9786391522587842
6,7,1.793899187227575e-07,0.9786585365853658,0.9786925479696564,0.9786391522587842,0.9786567511038811,162.0,3.0,4.0,159.0,0.9818181818181818,0.024539877300613498,0.9754601226993865,0.01818181818181818,0.9786391522587842
7,8,1.656007475969268e-07,0.9817073170731707,0.9817438185536345,0.9817438185536345,0.9817073170731707,161.0,4.0,2.0,161.0,0.9757575757575757,0.012269938650306749,0.9877300613496932,0.024242424242424242,0.9817438185536345
8,9,1.1382808045643132e-07,0.9878048780487805,0.9878044246142406,0.9878044246142406,0.9878044246142406,163.0,2.0,2.0,161.0,0.9878787878787879,0.012269938650306749,0.9877300613496932,0.012121212121212121,0.9878044246142407
9,10,1.5107545910812007e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
10,11,1.6103830279373544e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
11,12,1.6877135125602166e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
12,13,1.4905137259785722e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
13,14,1.2226693513916761e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
14,15,2.0984135022977503e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
