,Dataset,Inference Time (s),Acc,Precision,Recall,F-1,TN,FP,FN,TP,TNR,FNR,TPR,FPR,AUC Score
0,1,1.9338472587306326e-07,0.49390243902439024,0.4698711250435388,0.4967837888083287,0.35078933562264514,4.0,161.0,5.0,158.0,0.024242424242424242,0.03067484662576687,0.9693251533742331,0.9757575757575757,0.4967837888083287
1,2,9.846948995822814e-08,0.875,0.8757453786523555,0.874865216583008,0.8749058165818628,148.0,17.0,24.0,139.0,0.896969696969697,0.147239263803681,0.852760736196319,0.10303030303030303,0.874865216583008
2,3,8.444131874456639e-08,0.9176829268292683,0.9204868913857678,0.917438185536345,0.9175104090015742,158.0,7.0,20.0,143.0,0.9575757575757575,0.12269938650306748,0.8773006134969326,0.04242424242424243,0.9174381855363449
3,4,8.79824888415453e-08,0.9573170731707317,0.9585306731307104,0.9571667596207474,0.9572773622120502,162.0,3.0,11.0,152.0,0.9818181818181818,0.06748466257668712,0.9325153374233128,0.01818181818181818,0.9571667596207473
4,5,8.537914694809332e-08,0.9695121951219512,0.9702387603829106,0.9693995166387804,0.9694940476190477,163.0,2.0,8.0,155.0,0.9878787878787879,0.049079754601226995,0.950920245398773,0.012121212121212121,0.9693995166387804
5,6,9.529016366819057e-08,0.9786585365853658,0.9786925479696564,0.9786391522587842,0.9786567511038811,162.0,3.0,4.0,159.0,0.9818181818181818,0.024539877300613498,0.9754601226993865,0.01818181818181818,0.9786391522587842
6,7,1.0322259693610959e-07,0.9786585365853658,0.9786925479696564,0.9786391522587842,0.9786567511038811,162.0,3.0,4.0,159.0,0.9818181818181818,0.024539877300613498,0.9754601226993865,0.01818181818181818,0.9786391522587842
7,8,9.045935258632753e-08,0.9817073170731707,0.9817438185536345,0.9817438185536345,0.9817073170731707,161.0,4.0,2.0,161.0,0.9757575757575757,0.012269938650306749,0.9877300613496932,0.024242424242424242,0.9817438185536345
8,9,1.1416222991012947e-07,0.9847560975609756,0.9847560975609756,0.9847741215839375,0.9847559558666332,162.0,3.0,2.0,161.0,0.9818181818181818,0.012269938650306749,0.9877300613496932,0.01818181818181818,0.9847741215839375
9,10,8.930665690724443e-08,0.9847560975609756,0.9847560975609756,0.9847741215839375,0.9847559558666332,162.0,3.0,2.0,161.0,0.9818181818181818,0.012269938650306749,0.9877300613496932,0.01818181818181818,0.9847741215839375
10,11,8.407678545975104e-08,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
11,12,9.054708771589326e-08,0.9847560975609756,0.9847560975609756,0.9847741215839375,0.9847559558666332,162.0,3.0,2.0,161.0,0.9818181818181818,0.012269938650306749,0.9877300613496932,0.01818181818181818,0.9847741215839375
12,13,8.624842981012856e-08,0.9847560975609756,0.9847560975609756,0.9847741215839375,0.9847559558666332,162.0,3.0,2.0,161.0,0.9818181818181818,0.012269938650306749,0.9877300613496932,0.01818181818181818,0.9847741215839375
13,14,1.0744689441308743e-07,0.9847560975609756,0.9847560975609756,0.9847741215839375,0.9847559558666332,162.0,3.0,2.0,161.0,0.9818181818181818,0.012269938650306749,0.9877300613496932,0.01818181818181818,0.9847741215839375
14,15,1.1554832865552205e-07,0.9847560975609756,0.9847560975609756,0.9847741215839375,0.9847559558666332,162.0,3.0,2.0,161.0,0.9818181818181818,0.012269938650306749,0.9877300613496932,0.01818181818181818,0.9847741215839375
